,title,firstname,middlename,lastname,name_suffix,nickname,party,state,district,in_office,gender,phone,fax,website,webform,congress_office,bioguide_id,votesmart_id,fec_id,govtrack_id,crp_id,twitter_id,congresspedia_url,youtube_url,facebook_id,official_rss,senate_class,birthdate,oc_email,up_for_election2014
8,Sen,Lamar,,Alexander,,,R,TN,Senior Seat,1,M,202-224-4944,202-228-3398,http://www.alexander.senate.gov,http://www.alexander.senate.gov/public/index.cfm?p=Email,455 Dirksen Senate Office Building,A000360,15691,S2TN00058,300002,N00009888,SenAlexander,http://www.opencongress.org/wiki/Lamar_Alexander,http://youtube.com/lamaralexander,89927603836,,II,1940-07-03,Sen.Alexander@opencongress.org,1
16,Sen,Kelly,,Ayotte,,,R,NH,Junior Seat,1,F,202-224-3324,,http://www.ayotte.senate.gov,http://www.ayotte.senate.gov/?p=contact,144 Russell Senate Office Building,A000368,42352,S0NH00235,412493,N00030980,KellyAyotte,http://www.opencongress.org/wiki/Kelly_Ayotte,http://youtube.com/SenatorAyotte,123436097729198,,III,1968-06-27,Sen.Ayotte@opencongress.org,0
33,Sen,Roy,,Blunt,,,R,MO,Junior Seat,1,M,202-224-5721,202-224-8149,http://www.blunt.senate.gov,http://www.blunt.senate.gov/public/index.cfm/contact-form?p=contact-roy,260 Russell Senate Office Building,B000575,418,H6MO07128,400034,N00005195,RoyBlunt,http://www.opencongress.org/wiki/Roy_Blunt,http://youtube.com/SenatorBlunt,142473042477322,,III,1950-01-10,Sen.Blunt@opencongress.org,0
38,Sen,Barbara,,Boxer,,,D,CA,Junior Seat,1,F,202-224-3553,202-224-0454,http://www.boxer.senate.gov,http://www.boxer.senate.gov/en/contact/policycomments.cfm,112 Hart Senate Office Building,B000711,53274,S2CA00286,300011,N00006692,SenatorBoxer,http://www.opencongress.org/wiki/Barbara_Boxer,http://youtube.com/SenatorBoxer,116513005087055,,III,1940-11-11,Sen.Boxer@opencongress.org,0
42,Sen,Sherrod,,Brown,,,D,OH,Senior Seat,1,M,202-224-2315,202-228-6321,http://www.brown.senate.gov,http://www.brown.senate.gov/contact,713 Hart Senate Office Building,B000944,27018,H2OH13033,400050,N00003535,SenSherrodBrown,http://www.opencongress.org/wiki/Sherrod_Brown,http://youtube.com/SherrodBrownOhio,6266829799,,I,1952-11-09,Sen.Brown@opencongress.org,0
45,Sen,Richard,M.,Burr,,,R,NC,Senior Seat,1,M,202-224-3154,202-228-2981,http://www.burr.senate.gov,http://www.burr.senate.gov/public/index.cfm?FuseAction=Contact.ContactForm,217 Russell Senate Office Building,B001135,21787,S4NC00089,400054,N00002221,SenatorBurr,http://www.opencongress.org/wiki/Richard_Burr,http://youtube.com/SenatorRichardBurr,132653626787856,,III,1955-11-30,Sen.Burr@opencongress.org,0
52,Sen,Tammy,,Baldwin,,,D,WI,Junior Seat,1,F,202-224-5653,202-225-6942,http://www.baldwin.senate.gov,http://www.baldwin.senate.gov/contact,717 Hart,B001230,3470,H8WI00018,400013,N00004367,SenatorBaldwin,http://www.opencongress.org/wiki/Tammy_Baldwin,http://youtube.com/witammybaldwin,7357041101,,I,1962-02-11,Sen.Baldwin@opencongress.org,0
58,Sen,John,,Boozman,,,R,AR,Junior Seat,1,M,202-224-4843,202-228-1371,http://www.boozman.senate.gov,http://www.boozman.senate.gov/public/index.cfm/e-mail-me,320 Hart Senate Office Building,B001236,27958,H2AR03176,400040,N00013873,JohnBoozman,http://www.opencongress.org/wiki/John_Boozman,http://youtube.com/BoozmanPressOffice,7686715735,,III,1950-12-10,Sen.Boozman@opencongress.org,0
77,Sen,John,A.,Barrasso,,,R,WY,Junior Seat,1,M,202-224-6441,202-224-1724,http://www.barrasso.senate.gov,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,307 Dirksen Senate Office Building,B001261,52662,S6WY00068,412251,N00006236,SenJohnBarrasso,http://www.opencongress.org/wiki/John_Barrasso,http://youtube.com/barrassowyo,21146775942,,I,1952-07-21,Sen.Barrasso@opencongress.org,0
81,Sen,Mark,,Begich,,,D,AK,Junior Seat,1,M,202-224-3004,202-224-2354,http://www.begich.senate.gov,http://www.begich.senate.gov/public/index.cfm?p=EmailSenator,111 Russell Senate Office Building,B001265,79426,S8AK00090,412326,N00029901,SenatorBegich,http://www.opencongress.org/wiki/Mark_Begich,http://youtube.com/USSenatorMarkBegich,121360477876652,,II,1962-03-30,Sen.Begich@opencongress.org,1
