Name,FirstName,Party,Holidays & Commemorations,Notice of Pubic Appearance,Violence Against Women,Local Events & Meetings,Jobs & Economy,Education & School Visits,Health & Healthcare,Taxes & Economy,Press Releases & News,Misc. Domestic Issues,Foreign Policy & Border Control,Thank yous & Personal Appeals,FbPct
Alexander - TN,Lamar,R,47,57,8,9,15,10,22,24,7,13,22,60,108
Ayotte - NH,Kelly,R,204,224,51,57,32,39,15,21,30,30,25,136,116
Blunt - MO,Roy,R,121,156,18,29,34,19,15,19,11,9,11,69,152
Boxer - CA,Barbara,D,42,38,11,4,5,1,9,3,4,10,4,24,72
Brown - OH,Sherrod,D,41,48,5,13,8,5,6,16,2,7,2,34,74
Burr - NC,Richard,R,48,37,4,6,1,7,4,6,5,14,3,40,88
Baldwin - WI,Tammy,D,139,133,18,76,52,16,30,38,6,88,5,93,35
Boozman - AR,John,R,74,45,4,13,5,11,1,7,0,6,9,32,128
Barrasso - WY,John,R,39,66,3,6,7,8,12,12,3,13,3,59,27
Begich - AK,Mark,D,80,48,5,23,14,9,11,10,3,20,0,73,214
Bennet - CO,Michael,D,17,10,1,3,6,0,0,1,0,3,0,10,30
Blumenthal - CT,Richard,D,315,239,153,23,33,20,32,49,9,52,25,147,141
Booker - NJ,Cory,D,648,781,70,216,50,71,49,132,31,70,30,1280,701
Cantwell - WA,Maria,D,22,38,1,3,9,4,2,5,0,5,1,11,15
Cardin - MD,Benjamin,D,131,143,17,30,47,13,35,30,2,58,11,96,158
Carper - DE,Thomas,D,70,77,12,26,22,8,11,22,3,9,13,70,106
Chambliss - GA,Saxby,R,13,16,0,2,3,1,1,1,2,0,6,12,0
Coats - IN,Daniel,R,129,154,25,47,10,22,10,12,12,1,34,74,196
Coburn - OK,Thomas,R,32,38,3,19,2,1,13,36,0,10,4,54,60
Cochran - MS,Thad,R,85,45,5,30,21,6,1,8,3,9,7,52,168
Crapo - ID,Michael,R,46,60,4,20,7,16,3,6,1,0,3,23,80
Collins - ME,Susan,R,54,84,4,15,12,6,5,3,5,3,6,24,86
Cornyn - TX,John,R,259,341,28,73,27,30,23,40,99,12,93,229,162
Casey - PA,Robert,D,73,87,6,20,6,7,7,13,7,12,9,49,90
Corker - TN,Bob,R,31,63,3,16,4,18,1,3,5,5,8,34,48
Coons - DE,Chris,D,30,54,10,5,4,2,7,3,4,3,6,20,41
Cruz - TX,Ted,R,171,157,10,16,8,4,30,29,8,2,35,96,277
Durbin - IL,Richard,D,72,88,5,11,22,11,15,21,6,44,8,77,65
Donnelly - IN,Joe,D,98,160,17,42,33,25,1,6,0,16,6,58,185
Enzi - WY,Michael,R,76,59,2,19,27,12,16,31,4,22,4,52,128
Feinstein - CA,Dianne,D,82,96,28,14,12,13,28,20,10,25,20,70,116
Flake - AZ,Jeff,R,39,53,1,26,1,4,2,6,2,4,6,31,60
Franken - MN,Alan,D,143,183,18,89,11,19,33,31,7,53,10,210,266
Fischer - NE,Deb,R,57,72,3,23,10,12,5,8,5,17,8,36,64
Graham - SC,Lindsey,R,52,63,3,4,6,6,7,5,0,5,14,35,57
Grassley - IA,Charles,R,74,119,5,54,5,15,4,18,3,17,4,50,216
Gillibrand - NY,Kirsten,D,262,161,111,30,30,10,40,27,7,79,12,220,96
Harkin - IA,Thomas,D,58,32,7,8,5,8,5,6,1,21,0,40,46
Hatch - UT,Orrin,R,78,73,4,20,10,4,48,33,7,15,9,57,9
Heller - NV,Dean,R,35,48,7,9,3,6,3,6,3,2,2,23,45
Hirono - HI,Mazie,D,31,34,3,7,6,1,2,2,0,12,4,20,31
Heinrich - NM,Martin,D,94,65,9,16,23,11,7,21,3,33,17,48,132
Hagan - NC,Kay,D,80,40,8,17,13,4,13,9,2,33,3,28,91
Hoeven - ND,John,R,70,48,3,20,23,8,4,10,3,9,2,60,130
Heitkamp - ND,Heidi,D,171,225,34,48,64,17,12,21,4,46,12,192,243
Inhofe - OK,James,R,86,102,13,16,15,9,14,30,11,5,34,75,129
Isakson - GA,John,R,60,103,6,37,7,14,8,10,5,8,8,61,61
Johnson - SD,Tim,D,26,29,4,12,1,12,1,3,2,2,1,19,37
Johanns - NE,Mike,R,12,13,0,2,1,5,1,1,0,0,0,13,48
Johnson - WI,Ron,R,36,76,5,19,11,5,15,7,4,4,7,44,95
Kirk - IL,Mark,R,106,152,14,41,14,10,10,23,7,24,16,86,140
Klobuchar - MN,Amy,D,116,86,20,47,31,12,9,20,6,16,5,98,103
King - ME,Angus,I,42,57,6,9,5,5,0,4,7,4,3,33,62
